epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.606,0.13106,0.90127,0.93744,0.88651,0.86749,0.947,0.91886,0.27547,1.25092,0.20174,0.000416384,0.000416384,0.000416384
2,1254.94,0.09847,0.42019,0.91017,0.95357,0.95182,0.98588,0.98238,0.3063,0.68571,0.20793,0.000750579,0.000750579,0.000750579
3,1861.1,0.08615,0.32665,0.90608,0.94507,0.95545,0.9831,0.96452,0.42668,0.75443,0.32476,0.00100227,0.00100227,0.00100227
4,2478.17,0.07403,0.25948,0.90143,0.95163,0.95713,0.98622,0.98111,0.37897,0.76688,0.27041,0.00087875,0.00087875,0.00087875
5,3085.77,0.05988,0.22172,0.90354,0.95972,0.96094,0.98605,0.97004,0.33935,0.76996,0.24984,0.000755,0.000755,0.000755
6,3712.52,0.05139,0.19691,0.90076,0.98091,0.9715,0.99113,0.98889,0.36291,0.78881,0.26344,0.00063125,0.00063125,0.00063125
7,4306.18,0.04329,0.1532,0.8989,0.96102,0.99091,0.98822,0.98274,0.36004,0.72789,0.25206,0.0005075,0.0005075,0.0005075
8,4918.42,0.03761,0.13768,0.89832,0.97192,0.97903,0.99233,0.9911,0.32924,0.77111,0.24584,0.00038375,0.00038375,0.00038375
9,5520.57,0.03157,0.11467,0.89735,0.97854,0.98385,0.99044,0.98847,0.32601,0.6746,0.2448,0.00026,0.00026,0.00026
10,6111.4,0.02623,0.09838,0.89802,0.98512,0.98721,0.9922,0.99147,0.33047,0.66147,0.24917,0.00013625,0.00013625,0.00013625
